product_id,name,category,description,price
P01,Organic Mascara,Beauty,Achieve a radiant complexion with our Long-Lasting Mascara. Formulated with nourishing ingredients for visible results.,644
P02,High-Resolution Drone,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative AI-Powered Laptop. Perfect for entertainment, work, and everything in between!",108
P03,Activewear T-shirt,Clothing,Look and feel your best in our Activewear Jeans. Made with high-quality materials for comfort and style that lasts.,118
P04,High-Resolution TV,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative High-Resolution Headphones. Perfect for entertainment, work, and everything in between!",344
P05,Cozy Storage Container,Home,Transform your space with our Eco-Friendly Rug. Designed to elevate your home's functionality and aesthetics.,278
P06,Action-Packed Doll,Toys,Spark their imagination and creativity with our Educational Puzzle. Hours of fun and learning guaranteed!,917
P07,AI-Powered Speaker,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative Portable Drone. Perfect for entertainment, work, and everything in between!",933
P08,Interactive Doll,Toys,Spark their imagination and creativity with our Interactive Puzzle. Hours of fun and learning guaranteed!,385
P09,Activewear Jeans,Clothing,Look and feel your best in our Comfortable Jeans. Made with high-quality materials for comfort and style that lasts.,890
P10,Smart Rug,Home,Transform your space with our Modern Storage Container. Designed to elevate your home's functionality and aesthetics.,569
P11,Organic Mascara,Beauty,Achieve a radiant complexion with our Smoothing Serum. Formulated with nourishing ingredients for visible results.,898
P12,Portable Laptop,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative Portable Speaker. Perfect for entertainment, work, and everything in between!",890
P13,Casual Sweater,Clothing,Look and feel your best in our Casual Sweater. Made with high-quality materials for comfort and style that lasts.,962
P14,Plush Doll,Toys,Spark their imagination and creativity with our Creative Robot. Hours of fun and learning guaranteed!,797
P15,Wireless Drone,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative Portable Laptop. Perfect for entertainment, work, and everything in between!",156
P16,Cozy Chair,Home,Transform your space with our Smart Chair. Designed to elevate your home's functionality and aesthetics.,291
P17,Smart Couch,Home,Transform your space with our Smart Chair. Designed to elevate your home's functionality and aesthetics.,387
P18,Smart TV,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative Portable Headphones. Perfect for entertainment, work, and everything in between!",438
P19,Smoothing Eyeshadow,Beauty,Achieve a radiant complexion with our Long-Lasting Mascara. Formulated with nourishing ingredients for visible results.,222
P20,Long-Lasting Serum,Beauty,Achieve a radiant complexion with our Brightening Eyeshadow. Formulated with nourishing ingredients for visible results.,237
P21,Plush Doll,Toys,Spark their imagination and creativity with our Educational Building Blocks. Hours of fun and learning guaranteed!,786
P22,Stylish Shoes,Clothing,Look and feel your best in our Activewear Jeans. Made with high-quality materials for comfort and style that lasts.,665
P23,Portable Laptop,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative AI-Powered TV. Perfect for entertainment, work, and everything in between!",913
P24,Creative Building Blocks,Toys,Spark their imagination and creativity with our Plush Building Blocks. Hours of fun and learning guaranteed!,66
P25,Long-Lasting Lipstick,Beauty,Achieve a radiant complexion with our Smoothing Lipstick. Formulated with nourishing ingredients for visible results.,601
P26,Cozy Couch,Home,Transform your space with our Space-Saving Rug. Designed to elevate your home's functionality and aesthetics.,370
P27,Action-Packed Car,Toys,Spark their imagination and creativity with our Educational Building Blocks. Hours of fun and learning guaranteed!,340
P28,Modern Rug,Home,Transform your space with our Smart Couch. Designed to elevate your home's functionality and aesthetics.,130
P29,Smart Rug,Home,Transform your space with our Smart Rug. Designed to elevate your home's functionality and aesthetics.,85
P30,Smart Laptop,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative High-Resolution Speaker. Perfect for entertainment, work, and everything in between!",585
P31,Brightening Serum,Beauty,Achieve a radiant complexion with our Hydrating Lipstick. Formulated with nourishing ingredients for visible results.,619
P32,Wireless TV,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative AI-Powered TV. Perfect for entertainment, work, and everything in between!",116
P33,Long-Lasting Eyeshadow,Beauty,Achieve a radiant complexion with our Long-Lasting Moisturizer. Formulated with nourishing ingredients for visible results.,285
P34,Educational Robot,Toys,Spark their imagination and creativity with our Action-Packed Building Blocks. Hours of fun and learning guaranteed!,224
P35,Long-Lasting Lipstick,Beauty,Achieve a radiant complexion with our Long-Lasting Lipstick. Formulated with nourishing ingredients for visible results.,941
P36,Organic Serum,Beauty,Achieve a radiant complexion with our Brightening Moisturizer. Formulated with nourishing ingredients for visible results.,143
P37,Smoothing Eyeshadow,Beauty,Achieve a radiant complexion with our Hydrating Moisturizer. Formulated with nourishing ingredients for visible results.,929
P38,Cozy Chair,Home,Transform your space with our Smart Table. Designed to elevate your home's functionality and aesthetics.,782
P39,Creative Puzzle,Toys,Spark their imagination and creativity with our Educational Building Blocks. Hours of fun and learning guaranteed!,524
P40,Space-Saving Couch,Home,Transform your space with our Modern Couch. Designed to elevate your home's functionality and aesthetics.,801
P41,Hydrating Serum,Beauty,Achieve a radiant complexion with our Smoothing Serum. Formulated with nourishing ingredients for visible results.,613
P42,Action-Packed Puzzle,Toys,Spark their imagination and creativity with our Creative Robot. Hours of fun and learning guaranteed!,540
P43,Space-Saving Rug,Home,Transform your space with our Eco-Friendly Table. Designed to elevate your home's functionality and aesthetics.,887
P44,Eco-Friendly Storage Container,Home,Transform your space with our Cozy Storage Container. Designed to elevate your home's functionality and aesthetics.,673
P45,Plush Robot,Toys,Spark their imagination and creativity with our Educational Car. Hours of fun and learning guaranteed!,96
P46,Stylish Jeans,Clothing,Look and feel your best in our Activewear Dress. Made with high-quality materials for comfort and style that lasts.,918
P47,Action-Packed Puzzle,Toys,Spark their imagination and creativity with our Educational Robot. Hours of fun and learning guaranteed!,448
P48,Portable Headphones,Electronics,"Experience crystal-clear visuals and immersive sound with our innovative High-Resolution Speaker. Perfect for entertainment, work, and everything in between!",71
P49,Eco-Friendly Chair,Home,Transform your space with our Modern Storage Container. Designed to elevate your home's functionality and aesthetics.,730
P50,Brightening Moisturizer,Beauty,Achieve a radiant complexion with our Long-Lasting Serum. Formulated with nourishing ingredients for visible results.,792
